match_id,day,slot,time,field,gender,home,away,referee_no
1-f1-s0,1,0,09:00-09:45,1,boys,Norrstrands IF Röd,FBK Röd,1
1-f2-s0,1,0,09:00-09:45,2,girls,IFK Skoghall Dam Blå,Qbik Vit,2
1-f3-s0,1,0,09:00-09:45,3,girls,Rävåsen,NIF F-2016 Vit,3
1-f4-s0,1,0,09:00-09:45,4,boys,Hammarö FK 1,IFK Skoghall Blå,4
1-f5-s0,1,0,09:00-09:45,5,girls,IFK Skoghall Dam Vit,Fagerås Bk F16/17,5
1-f6-s0,1,0,09:00-09:45,6,boys,HBK P16 Grön,Skattkärrs IF,6
1-f7-s0,1,0,09:00-09:45,7,girls,IF Kil Vit,IFK Skoghall Dam Röd,7
1-f8-s0,1,0,09:00-09:45,8,girls,IFK Skoghall Dam Grön,IF Kil Blå,8
1-f1-s1,1,1,10:00-10:45,1,boys,HBK P16 Gul,KRP UNITED,9
1-f2-s1,1,1,10:00-10:45,2,boys,FBK Svart,Forshaga IF Syd,10
1-f3-s1,1,1,10:00-10:45,3,girls,Säffle SK F-16,Qbik Blå,11
1-f4-s1,1,1,10:00-10:45,4,boys,Grums IK FK,Norrstrands IF Vit,12
1-f5-s1,1,1,10:00-10:45,5,boys,Råtorps IK Blå,Nor/Edsvalla,13
1-f6-s1,1,1,10:00-10:45,6,boys,HBK P16 Vit,Kils AIK 1,14
1-f7-s1,1,1,10:00-10:45,7,boys,Hammarö FK 2,IK Arvika fotboll,15
1-f8-s1,1,1,10:00-10:45,8,boys,Råtorps IK Vit,Karlstad Fotboll Blå,16
1-f1-s2,1,2,11:00-11:45,1,girls,NIF F-2016 Röd,HBK F16,17
1-f2-s2,1,2,11:00-11:45,2,boys,Karlstad Fotboll Vit,Kils AIK 2,18
1-f3-s2,1,2,11:00-11:45,3,girls,IFK Skoghall Dam Rosa,Sommaro IF F10,19
1-f4-s2,1,2,11:00-11:45,4,girls,NIF F-2016 Vit,Qbik Vit,20
1-f5-s2,1,2,11:00-11:45,5,girls,IF Kil Vit,IFK Skoghall Dam Vit,21
1-f6-s2,1,2,11:00-11:45,6,girls,IFK Skoghall Dam Röd,Fagerås Bk F16/17,22
1-f7-s2,1,2,11:00-11:45,7,boys,FBK Röd,Skattkärrs IF,23
1-f8-s2,1,2,11:00-11:45,8,girls,IF Kil Blå,Rävåsen,24
1-f1-s3,1,3,12:00-12:45,1,girls,Qbik Blå,IFK Skoghall Dam Grön,25
1-f2-s3,1,3,12:00-12:45,2,boys,Forshaga IF Nord,IFK Skoghall Vit,26
1-f3-s3,1,3,12:00-12:45,3,boys,HBK P16 Gul,Kils AIK 1,27
1-f4-s3,1,3,12:00-12:45,4,boys,IFK Skoghall Blå,IK Arvika fotboll,28
1-f5-s3,1,3,12:00-12:45,5,boys,FBK Svart,Norrstrands IF Röd,29
1-f6-s3,1,3,12:00-12:45,6,boys,HBK P16 Grön,Karlstad Fotboll Blå,30
1-f7-s3,1,3,12:00-12:45,7,boys,Hammarö FK 1,Grums IK FK,31
1-f8-s3,1,3,12:00-12:45,8,boys,Norrstrands IF Blå,Råtorps IK Blå,32
1-f1-s4,1,4,13:15-14:00,1,girls,HBK F16,IFK Skoghall Dam Rosa,33
1-f2-s4,1,4,13:15-14:00,2,girls,NIF F-2016 Röd,IFK Skoghall Dam Blå,34
1-f3-s4,1,4,13:15-14:00,3,boys,Nor/Edsvalla,Råtorps IK Vit,35
1-f4-s4,1,4,13:15-14:00,4,girls,Säffle SK F-16,Sommaro IF F10,36
1-f5-s4,1,4,13:15-14:00,5,boys,Karlstad Fotboll Vit,Hammarö FK 2,37
1-f6-s4,1,4,13:15-14:00,6,girls,Rävåsen,Fagerås Bk F16/17,38
1-f7-s4,1,4,13:15-14:00,7,girls,Qbik Vit,IF Kil Blå,39
1-f8-s4,1,4,13:15-14:00,8,girls,NIF F-2016 Vit,IFK Skoghall Dam Vit,40
1-f1-s5,1,5,14:15-15:00,1,boys,HBK P16 Vit,Norrstrands IF Vit,41
1-f2-s5,1,5,14:15-15:00,2,boys,Karlstad Fotboll Blå,KRP UNITED,42
1-f3-s5,1,5,14:15-15:00,3,girls,IF Kil Vit,IFK Skoghall Dam Grön,43
1-f4-s5,1,5,14:15-15:00,4,boys,IFK Skoghall Blå,Kils AIK 2,44
1-f5-s5,1,5,14:15-15:00,5,boys,HBK P16 Gul,IK Arvika fotboll,45
1-f6-s5,1,5,14:15-15:00,6,boys,HBK P16 Grön,Forshaga IF Nord,46
1-f7-s5,1,5,14:15-15:00,7,boys,Kils AIK 1,Forshaga IF Syd,47
1-f8-s5,1,5,14:15-15:00,8,boys,Norrstrands IF Blå,IFK Skoghall Vit,48
1-f1-s6,1,6,15:15-16:00,1,boys,Hammarö FK 1,Nor/Edsvalla,49
1-f2-s6,1,6,15:15-16:00,2,girls,Qbik Blå,IFK Skoghall Dam Blå,50
1-f3-s6,1,6,15:15-16:00,3,girls,NIF F-2016 Röd,IFK Skoghall Dam Rosa,51
1-f4-s6,1,6,15:15-16:00,4,girls,IFK Skoghall Dam Röd,Sommaro IF F10,52
1-f5-s6,1,6,15:15-16:00,5,boys,Karlstad Fotboll Vit,FBK Röd,53
1-f6-s6,1,6,15:15-16:00,6,girls,IF Kil Blå,NIF F-2016 Vit,54
1-f7-s6,1,6,15:15-16:00,7,girls,Qbik Vit,IFK Skoghall Dam Vit,55
1-f8-s6,1,6,15:15-16:00,8,boys,Norrstrands IF Röd,Skattkärrs IF,56
1-f1-s7,1,7,16:15-17:00,1,boys,HBK P16 Gul,Norrstrands IF Vit,57
1-f2-s7,1,7,16:15-17:00,2,boys,Forshaga IF Syd,Kils AIK 2,58
1-f3-s7,1,7,16:15-17:00,3,boys,Forshaga IF Nord,Grums IK FK,59
