team,place,room,group,color
Fagerås Bk F16/17,Damstugan,3,F-16,#e87722
FBK Röd,Ilandahallen,2,P-16,#f4c430
FBK Svart,Ilandahallen,2,P-16,#f4c430
Forshaga IF Nord,Ilandaskolan,3,P-16,#1b7a4e
Forshaga IF Syd,Ilandaskolan,3,P-16,#1b7a4e
Grums IK FK,Ilandaskolan,2,P-16,#1b7a4e
Hammarö FK 1,Ilandaskolan,4,P-16,#1b7a4e
Hammarö FK 2,Ilandaskolan,4,P-16,#1b7a4e
HBK F16,Damstugan,1,F-16,#e87722
HBK P16 Grön,A-lagets omklädningsrum,–,P-16,#7c3aed
HBK P16 Gul,A-lagets omklädningsrum,–,P-16,#7c3aed
HBK P16 Vit,A-lagets omklädningsrum,–,P-16,#7c3aed
IF Kil Blå,Damstugan,2,F-16,#e87722
IF Kil Vit,Damstugan,2,F-16,#e87722
IFK Skoghall Blå,Ilandahallen,1,P-16,#f4c430
IFK Skoghall Dam Blå,Damstugan,5,F-16,#e87722
IFK Skoghall Dam Grön,Damstugan,4,F-16,#e87722
IFK Skoghall Dam Rosa,Damstugan,4,F-16,#e87722
IFK Skoghall Dam Röd,Damstugan,4,F-16,#e87722
IFK Skoghall Dam Vit,Damstugan,5,F-16,#e87722
IFK Skoghall Vit,Ilandahallen,1,P-16,#f4c430
IK Arvika fotboll,Ilandaskolan,2,P-16,#1b7a4e
Karlstad Fotboll Blå,Ilandahallen,4,P-16,#f4c430
Karlstad Fotboll Vit,Ilandahallen,4,P-16,#f4c430
Kils AIK 1,Herrstugan,1,P-16,#2073bc
Kils AIK 2,Herrstugan,1,P-16,#2073bc
KRP UNITED,Ilandaskolan,3,P-16,#1b7a4e
NIF F-2016 Röd,Herrstugan,2,F-16,#2073bc
NIF F-2016 Vit,Herrstugan,2,F-16,#2073bc
Nor/Edsvalla,Herrstugan,1,P-16,#2073bc
Norrstrands IF Blå,Ilandaskolan,1,P-16,#1b7a4e
Norrstrands IF Röd,Ilandaskolan,1,P-16,#1b7a4e
Norrstrands IF Vit,Ilandaskolan,1,P-16,#1b7a4e
Qbik Blå,Herrstugan,4,F-16,#2073bc
Qbik Vit,Herrstugan,4,F-16,#2073bc
Rävåsen,Damstugan,3,F-16,#e87722
Råtorps IK Blå,Ilandahallen,3,P-16,#f4c430
Råtorps IK Vit,Ilandahallen,3,P-16,#f4c430
Skattkärrs IF,Ilandahallen,3,P-16,#f4c430
Sommaro IF F10,Herrstugan,3,F-16,#2073bc
Säffle SK F-16,Herrstugan,3,F-16,#2073bc
