label,club,gender,hex_color,matches_d1,matches_d2,slug
Fagerås Bk F16/17,Fagerås BK,girls,#D45415,3,3,fageras-bk-f16-17
FBK Röd,FBK,boys,#75A7FF,3,3,fbk-rod
FBK Svart,FBK,boys,#679EFF,3,3,fbk-svart
Forshaga IF Nord,Forshaga IF,boys,#002688,3,3,forshaga-if-nord
Forshaga IF Syd,Forshaga IF,boys,#002179,3,3,forshaga-if-syd
Grums IK FK,Grums IK FK,boys,#003DC1,3,3,grums-ik-fk
Hammarö FK 1,Hammarö FK,boys,#ABCBFF,3,3,hammaro-fk-1
Hammarö FK 2,Hammarö FK,boys,#9EC2FF,3,3,hammaro-fk-2
HBK F16,Hertzöga BK,girls,#FFE8D6,3,4,hbk-f16
HBK P16 Grön,Hertzöga BK,boys,#C3DAFF,3,4,hbk-p16-gron
HBK P16 Gul,Hertzöga BK,boys,#D0E2FF,4,3,hbk-p16-gul
HBK P16 Vit,Hertzöga BK,boys,#B7D2FF,3,3,hbk-p16-vit
IF Kil Blå,IF Kil,girls,#E05A18,4,3,if-kil-bla
IF Kil Vit,IF Kil,girls,#EA621E,3,4,if-kil-vit
IFK Skoghall Blå,IFK Skoghall,boys,#054DDE,3,3,ifk-skoghall-bla
IFK Skoghall Dam Blå,IFK Skoghall Dam,girls,#FFC39A,3,3,ifk-skoghall-dam-bla
IFK Skoghall Dam Grön,IFK Skoghall Dam,girls,#F99054,3,3,ifk-skoghall-dam-gron
IFK Skoghall Dam Rosa,IFK Skoghall Dam,girls,#F46A25,3,3,ifk-skoghall-dam-rosa
IFK Skoghall Dam Röd,IFK Skoghall Dam,girls,#FF9010,3,4,ifk-skoghall-dam-rod
IFK Skoghall Dam Vit,IFK Skoghall Dam,girls,#FFB784,4,3,ifk-skoghall-dam-vit
IFK Skoghall Vit,IFK Skoghall,boys,#0044CF,3,3,ifk-skoghall-vit
IK Arvika fotboll,IK Arvika fotboll,boys,#001D6C,3,3,ik-arvika-fotboll
Karlstad Fotboll Blå,Karlstad Fotboll,boys,#1A6AFE,3,3,karlstad-fotboll-bla
Karlstad Fotboll Vit,Karlstad Fotboll,boys,#0956EC,3,3,karlstad-fotboll-vit
Kils AIK 1,Kils AIK FK,boys,#498BFF,3,3,kils-aik-1
Kils AIK 2,Kils AIK FK,boys,#3980FE,3,3,kils-aik-2
KRP UNITED,Kronoparken IFK,boys,#5895FF,3,3,krp-united
NIF F-2016 Röd,Norrstrands IF,girls,#C94E12,3,3,nif-f-2016-rod
NIF F-2016 Vit,Norrstrands IF,girls,#B84810,4,3,nif-f-2016-vit
Nor/Edsvalla,Nor/Edsvalla,boys,#2A75FE,3,3,nor-edsvalla
Norrstrands IF Blå,Norrstrands IF,boys,#002B96,3,3,norrstrands-if-bla
Norrstrands IF Röd,Norrstrands IF,boys,#0037B2,3,3,norrstrands-if-rod
Norrstrands IF Vit,Norrstrands IF,boys,#0030A4,3,3,norrstrands-if-vit
Qbik Blå,Qbik,girls,#A8430F,3,3,qbik-bla
Qbik Vit,Qbik,girls,#993D07,4,3,qbik-vit
Rävåsen,RIK Karlskoga,girls,#8A3800,3,4,ravasen
Råtorps IK Blå,Råtorps IK,boys,#83B0FF,3,3,ratorps-ik-bla
Råtorps IK Vit,Råtorps IK,boys,#90B9FF,3,3,ratorps-ik-vit
Skattkärrs IF,Skattkärrs IF,boys,#266EFF,3,3,skattkarrs-if
Sommaro IF F10,Sommaro IF,girls,#FFDCC3,3,3,sommaro-if-f10
Säffle SK F-16,Säffle Sportklubb,girls,#FFD0B0,3,3,saffle-sk-f-16
